artifact_id,primary_eval_category,secondary_eval_categories,impact_stage_max,interaction_counterfactual,availability_kind,coding_basis,coding_status,evidence_locator
artifact_tamas,delegation_protocol_action,privacy_information_flow,S3_executed_or_persistent,matched_single_agent,code_or_harness,The note reports unsafe task and tool execution plus an explicit single-agent comparison; the indexed URL is a GitHub repository.,assistant_derived_pending_author_signoff,papers/evaluations/acl/2026_kavathekar_tamas.md#Attack or Failure; #Evaluation
artifact_aciarena,propagation_topology,delegation_protocol_action,S2_trace,component_or_attack_controls,paper_only,The note reports cascading injection and propagation success with benign and defended controls but no matched interaction ablation.,assistant_derived_pending_author_signoff,papers/evaluations/acl/2026_an_aciarena.md#Attack or Failure; #Evaluation
artifact_risklab,trace_procedural_compliance,collective_decision_deception,S2_trace,edge_state_authority_ablation,code_or_harness,The note reports global trajectories and independently varied structural factors; the indexed URL is a GitHub repository.,assistant_derived_pending_author_signoff,papers/evaluations/acl_demo/2026_jiang_risklab.md#Defense; #Evaluation
artifact_liecraft,collective_decision_deception,adaptive_defense_detection,S1_observable,component_or_attack_controls,code_or_harness,The note reports observable game deception and accusation outcomes under identical role conditions; the indexed URL is a GitHub repository.,assistant_derived_pending_author_signoff,papers/evaluations/aaai/2026_olson_liecraft.md#Attack or Failure; #Evaluation
artifact_agentleak,privacy_information_flow,trace_procedural_compliance,S2_trace,matched_single_agent,paper_only,The note reports instrumented internal-channel traces and an explicit multi-agent versus single-agent comparison.,assistant_derived_pending_author_signoff,papers/evaluations/journals_ieee_access/2026_el_yagoubi_agentleak.md#Evaluation
artifact_pear,delegation_protocol_action,propagation_topology,S3_executed_or_persistent,edge_state_authority_ablation,paper_only,The note reports adversarial objective execution while varying attacked role and memory state.,assistant_derived_pending_author_signoff,papers/evaluations/findings_eacl/2026_dong_pear.md#Attack or Failure; #Evaluation
artifact_amongus_aamas,collective_decision_deception,adaptive_defense_detection,S2_trace,component_or_attack_controls,paper_only,The note reports speech acts and repeated game outcomes with role and model controls but no matched interaction removal.,assistant_derived_pending_author_signoff,papers/evaluations/aamas/2026_milkowski_among_us.md#Attack or Failure; #Evaluation
artifact_magpie,privacy_information_flow,,S2_trace,component_or_attack_controls,paper_only,The note reports role-relative disclosure within collaborative messages under benign and manipulation conditions.,assistant_derived_pending_author_signoff,papers/evaluations/neurips_workshop/2025_juneja_magpie.md#Attack or Failure; #Evaluation
artifact_gambit,adaptive_defense_detection,collective_decision_deception,S1_observable,component_or_attack_controls,paper_only,The note reports collective-answer degradation and detector outcomes across attack and recalibration modes.,assistant_derived_pending_author_signoff,papers/evaluations/arxiv/2026_le_mercier_gambit.md#Attack or Failure; #Evaluation
artifact_gammaf,adaptive_defense_detection,propagation_topology,S2_trace,component_or_attack_controls,paper_only,The note reports node and round anomaly monitoring with undefended and defense controls.,assistant_derived_pending_author_signoff,papers/evaluations/arxiv/2026_mateo_torrejon_gammaf.md#Attack or Failure; #Evaluation
artifact_harp,trace_procedural_compliance,propagation_topology; adaptive_defense_detection,S3_executed_or_persistent,component_or_attack_controls,paper_only,The note reports paired full traces together with temporal and memory persistence under attack and defense controls.,assistant_derived_pending_author_signoff,papers/evaluations/arxiv/2026_rahman_harp.md#Security Model; #Evaluation
artifact_calbench,privacy_information_flow,collective_decision_deception,S3_executed_or_persistent,component_or_attack_controls,code_and_data,The v3 source reports validated schedule and reschedule batches applied to mutable calendar state; its main comparisons vary models and protocol policies without a matched interaction or architecture ablation; the linked release includes code and data.,assistant_derived_pending_author_signoff,papers/evaluations/arxiv/2026_zou_calbench.md#Provisional Measurement Coding; #Evaluation; #Evidence
artifact_colosseum,collective_decision_deception,trace_procedural_compliance,S3_executed_or_persistent,edge_state_authority_ablation,paper_only,The note reports environment actions and action-versus-text agreement while varying coalition channels and topology.,assistant_derived_pending_author_signoff,papers/evaluations/arxiv/2026_nakamura_colosseum.md#Attack or Failure; #Evaluation
artifact_macbench,trace_procedural_compliance,delegation_protocol_action,S3_executed_or_persistent,component_or_attack_controls,paper_only,The note reports executable scenarios and full-trace procedural violations under generated attack conditions.,assistant_derived_pending_author_signoff,papers/evaluations/arxiv/2026_zhao_macbench.md#Attack or Failure; #Evaluation
artifact_netsafe,propagation_topology,,S2_trace,matched_architecture,paper_only,The note reports per-round propagation while systematically varying graph connectivity and population size.,assistant_derived_pending_author_signoff,papers/evaluations/findings_acl/2025_yu_netsafe.md#Defense; #Evaluation
artifact_mama,privacy_information_flow,propagation_topology,S3_executed_or_persistent,matched_architecture,paper_only,The note reports private-memory diffusion and ever-leaked entities across matched topology and placement conditions.,assistant_derived_pending_author_signoff,papers/evaluations/findings_acl/2026_liu_topology_memory_leakage.md#Attack or Failure; #Evaluation
artifact_psysafe,collective_decision_deception,adaptive_defense_detection,S2_trace,component_or_attack_controls,paper_only,The note reports conversational psychological state and collective dangerous behavior under attack and mitigation variants.,assistant_derived_pending_author_signoff,papers/attacks/acl/2024_zhang_psysafe.md#Defense; #Evaluation
artifact_masleak,privacy_information_flow,propagation_topology,S3_executed_or_persistent,component_or_attack_controls,paper_only,The note reports executed black-box disclosure on synthetic applications and selected platform cases but not a field-deployment denominator.,assistant_derived_pending_author_signoff,papers/attacks/usenix_security/2026_wang_masleak.md#Scope; #Evaluation
artifact_amongus_attack,collective_decision_deception,adaptive_defense_detection,S1_observable,component_or_attack_controls,paper_only,The note reports aggregate output degradation against benign-only collaboration pools and mitigation variants.,assistant_derived_pending_author_signoff,papers/attacks/acl/2026_yang_among_us.md#Attack or Failure; #Evaluation
artifact_controlvalve,delegation_protocol_action,trace_procedural_compliance,S3_executed_or_persistent,component_or_attack_controls,paper_only,The note reports code execution data sending and privileged invocation under attack and defense controls.,assistant_derived_pending_author_signoff,papers/attacks/iclr/2026_jha_control_flow_hijacking.md#Attack or Failure; #Evaluation
artifact_architecture_matters,propagation_topology,delegation_protocol_action,S3_executed_or_persistent,matched_architecture,paper_only,The note reports environment-checked harmful actions while holding tasks and models comparable across standalone and architecture configurations.,assistant_derived_pending_author_signoff,papers/attacks/icml/2026_hagag_architecture_matters.md#Security Model; #Evaluation
artifact_a2asecbench,delegation_protocol_action,privacy_information_flow,S3_executed_or_persistent,component_or_attack_controls,code_and_data,The ICLR 2026 source reports executed protocol effects including internal-resource dereference that returns a canary and persistent or timeout-inducing task state; benign attack and guarded controls do not remove the interaction structure; the linked release includes code and data.,assistant_derived_pending_author_signoff,papers/evaluations/iclr/2026_li_a2asecbench.md#Provisional Measurement Coding; #Evaluation; #Evidence
artifact_safeagents,propagation_topology,delegation_protocol_action,S3_executed_or_persistent,matched_single_agent,code_or_harness,The note reports complete harmful-workflow execution and single-agent safety metrics under matched adversarial prompts; the indexed URL is GitHub.,assistant_derived_pending_author_signoff,papers/evaluations/aamas_workshop/2026_arora_safeagents.md#Attack or Failure; #Evaluation
artifact_troublemaker,propagation_topology,,S3_executed_or_persistent,component_or_attack_controls,paper_only,The note reports retrievable self-replicating payload persistence across agents and compares attack variants.,assistant_derived_pending_author_signoff,papers/attacks/acl/2025_men_troublemaker.md#Attack or Failure; #Evaluation
artifact_master,propagation_topology,adaptive_defense_detection,S2_trace,edge_state_authority_ablation,paper_only,The note reports topology and role adaptation with ablations that remove role or topology information.,assistant_derived_pending_author_signoff,papers/attacks/findings_emnlp/2025_zhu_master.md#Evaluation
artifact_shadows_code,delegation_protocol_action,trace_procedural_compliance,S3_executed_or_persistent,edge_state_authority_ablation,paper_only,The note reports sandboxed executable malicious software while varying attacked and defended workflow stages.,assistant_derived_pending_author_signoff,papers/attacks/aaai/2026_wang_shadows_code.md#Attack or Failure; #Evaluation
artifact_lying_truths,collective_decision_deception,propagation_topology,S2_trace,component_or_attack_controls,paper_only,The note reports belief propagation through victim and downstream judge agents under attack-construction controls.,assistant_derived_pending_author_signoff,papers/attacks/acl/2026_hu_lying_truths.md#Attack or Failure; #Evaluation
artifact_hierarchical_attacks,propagation_topology,delegation_protocol_action,S2_trace,component_or_attack_controls,paper_only,The note reports local and systemic error propagation across clean and layer-specific attack conditions.,assistant_derived_pending_author_signoff,papers/attacks/cvpr/2026_zhou_hierarchical_attacks.md#Attack or Failure; #Evaluation
artifact_faulty_agents,collective_decision_deception,propagation_topology; adaptive_defense_detection,S2_trace,matched_single_agent,paper_only,The note reports downstream message errors and recovery against single-agent and unmodified multi-agent baselines.,assistant_derived_pending_author_signoff,papers/attacks/icml/2025_huang_faulty_agents.md#Attack or Failure; #Evaluation
artifact_financial_fraud,collective_decision_deception,delegation_protocol_action,S3_executed_or_persistent,edge_state_authority_ablation,paper_only,The note reports simulated transfer outcomes with no-collusion communication and population controls.,assistant_derived_pending_author_signoff,papers/attacks/iclr/2026_ren_financial_fraud.md#Attack or Failure; #Evaluation
artifact_trust_paradox,privacy_information_flow,trace_procedural_compliance,S2_trace,edge_state_authority_ablation,paper_only,The note reports complete interaction chains while sweeping trust gates and guardian intervention.,assistant_derived_pending_author_signoff,papers/attacks/journals_ieee_tcss/2026_xu_trust_paradox.md#Attack or Failure; #Evaluation
artifact_prompt_infection,propagation_topology,privacy_information_flow,S3_executed_or_persistent,component_or_attack_controls,paper_only,The note reports self-replicating persistence and population infection against non-replicating and defense controls.,assistant_derived_pending_author_signoff,papers/attacks/esorics_workshops/2026_lee_prompt_infection.md#Attack or Failure; #Evaluation
artifact_whos_mole,adaptive_defense_detection,collective_decision_deception,S2_trace,component_or_attack_controls,paper_only,The note reports multi-round behavioral monitoring and defense recovery against benign and attack controls.,assistant_derived_pending_author_signoff,papers/attacks/arxiv/2025_xie_whos_the_mole.md#Defense; #Evaluation
artifact_collaborative_shadows,propagation_topology,delegation_protocol_action,S3_executed_or_persistent,component_or_attack_controls,paper_only,The note reports sandboxed cross-tool payload execution against clean poison-only and component-removal controls.,assistant_derived_pending_author_signoff,papers/attacks/arxiv/2025_zhu_collaborative_shadows.md#Attack or Failure; #Evaluation
artifact_dont_trust_upstream,propagation_topology,delegation_protocol_action,S3_executed_or_persistent,component_or_attack_controls,paper_only,The note reports privileged filesystem or command actions against topology-unaware and attack-stage controls.,assistant_derived_pending_author_signoff,papers/attacks/arxiv/2025_liang_dont_trust_upstream.md#Attack or Failure; #Evaluation
artifact_blindguard,adaptive_defense_detection,propagation_topology,S2_trace,component_or_attack_controls,code_or_harness,The note reports multi-round graph detection and pruning against undefended and detector controls; the indexed URL is GitHub.,assistant_derived_pending_author_signoff,papers/defenses/acl/2026_miao_blindguard.md#Defense; #Evaluation
artifact_medsentry,adaptive_defense_detection,propagation_topology,S1_observable,matched_single_agent,unverified,The note reports final medical safety outcomes against single-agent baselines while the anonymous repository contents remain unverified.,assistant_derived_pending_author_signoff,papers/evaluations/arxiv/2025_chen_medsentry.md#Evaluation; evaluation_artifacts.csv availability_url
artifact_badacts,delegation_protocol_action,adaptive_defense_detection,S3_executed_or_persistent,component_or_attack_controls,code_or_harness,The note reports per-action executable checks under undefended warning and guardian controls; the indexed URL is GitHub.,assistant_derived_pending_author_signoff,papers/evaluations/colm/2026_nother_bad_acts.md#Attack or Failure; #Evaluation
artifact_sgoatmas,adaptive_defense_detection,collective_decision_deception,S2_trace,component_or_attack_controls,paper_only,The note reports downstream attribution and final-answer corruption against benign and naive direct-attack controls.,assistant_derived_pending_author_signoff,papers/attacks/fedkdd_workshop/2026_xiao_sgoatmas.md#Attack or Failure; #Evaluation
artifact_misinfotask,adaptive_defense_detection,trace_procedural_compliance,S2_trace,component_or_attack_controls,paper_only,The note reports misinformation propagation identification and rectification under injection and defense controls.,assistant_derived_pending_author_signoff,papers/defenses/arxiv/2025_li_argus.md#Attack or Failure; #Evaluation
artifact_alteda_traces,adaptive_defense_detection,trace_procedural_compliance,S2_trace,component_or_attack_controls,paper_only,The note reports synchronized cross-layer traces and earliest detection against single-layer and non-adaptive controls.,assistant_derived_pending_author_signoff,papers/defenses/journals_information_processing_management/2026_rabieinejad_alteda.md#Evaluation
artifact_colludebench_v0,adaptive_defense_detection,collective_decision_deception,S2_trace,component_or_attack_controls,paper_only,The note reports paired transcripts and outcomes against heuristic detector controls.,assistant_derived_pending_author_signoff,papers/defenses/arxiv/2025_tailor_audit_whisper.md#Evaluation
artifact_valueflow,propagation_topology,collective_decision_deception,S2_trace,edge_state_authority_ablation,paper_only,The note reports downstream message and final-output changes while varying perturbed node position and topology.,assistant_derived_pending_author_signoff,papers/evaluations/arxiv/2026_liu_valueflow.md#Attack or Failure; #Evaluation
